year,title,img,rating_count,gross,genre,rating,runtime,stars,metacritic,description
2007,Mr. Woodcock,2007_mr_woodcock.jpg,34369,25630000,"Comedy, Romance, Sport",PG-13,87,5.1,41,"Taken aback by his mother's wedding announcement, a young man returns home in an effort to stop her from marrying his old high school gym teacher, a man who made middle school hell for generations of students."
2007,Nancy Drew,2007_nancy_drew.jpg,18682,25610000,"Comedy, Crime, Family",PG,99,5.9,53,"Teen detective Nancy Drew accompanies her father on a business trip to Los Angeles, where she happens upon clues to a murder mystery involving a movie star."
2007,The Mist,2007_the_mist.jpg,269148,25590000,"Horror, Sci-Fi",R,126,7.1,58,"A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives."
2007,The Reaping,2007_the_reaping.jpg,41212,25120000,"Horror, Thriller",R,99,5.6,NA,"A former Christian missionary, who specializes in debunking religious phenomena, investigates a small town which seems to be suffering from the 10 biblical plagues."
2007,Grindhouse,2007_grindhouse.jpg,173784,25030000,"Action, Horror, Thriller",R,191,7.5,NA,Quentin Tarantino and Robert Rodriguez's homage to exploitation double features in the 60s and 70s with two back-to-back cult films that include previews of coming attractions between them.
2007,Across the Universe,2007_across_the_universe.jpg,103437,24340000,"Drama, Fantasy, History",PG-13,133,7.3,56,The music of The Beatles and the Vietnam War form the backdrop for the romance between an upper-class American girl and a poor Liverpudlian artist.
2007,Perfect Stranger,2007_perfect_stranger.jpg,43466,23980000,"Crime, Drama, Horror",R,109,5.7,NA,"A journalist goes undercover to ferret out businessman Harrison Hill as her childhood friend's killer. Posing as one of his temps, she enters into a game of online cat-and-mouse."
2007,War,2007_war.jpg,82756,22490000,"Action, Thriller",R,103,6.2,NA,"An FBI Agent seeks vengeance on a mysterious assassin known as ""Rogue"" who murdered his partner."
2007,The Last Mimzy,2007_the_last_mimzy.jpg,20360,21470000,"Drama, Family, Sci-Fi",PG,90,6.2,59,"Two siblings begin to develop special talents after they find a mysterious box of toys. Soon the kids, their parents, and even their teacher are drawn into a strange new world and find a task ahead of them that is far more important than any of them could imagine!"
2007,The Hills Have Eyes 2,2007_the_hills_have_eyes_.jpg,58776,20800000,"Horror, Thriller",R,89,5.1,NA,A group of National Guard trainees find themselves battling against a vicious group of mutants on their last day of training in the desert.
2007,Reno 911!: Miami,2007_reno__miami.jpg,25841,20340000,"Comedy, Crime",R,84,5.9,47,A rag-tag team of Reno cops are called in to save the day after a terrorist attack disrupts a national police convention in Miami Beach during spring break. Based on the Comedy Central series.
